An overview of where we stand with upgrading to latest xorg-xserver
code base. This ignores any security fixes that have been
backported, it rather describes what functionality level the modules
are at (roughly). Some modules have got backports added, not all of
then are mentioned here.

module            xorg version
composite         1.12 (~ 9838b70 2012-03-21 Introduce a consistent coding style [Keith Packard])
damageext         1.5.3
dbe               1.5.3
dix               1.5.3
fb                1.5.3
GL                6.9/7.0
mi                1.5.3
miext             1.5.3
os                1.5.3 + many backports, some of them from 2019
randr             1.18.0
record            1.5.3
render            1.5.0
Xext              1.5.3
xfixes            1.5.0
Xi                1.5.0
xkb               1.5.3

